release_year,popularity_comedy
1960,0.396000375
1961,0.6798382000000001
1962,0.27318339999999997
1963,0.4444810769230768
1964,0.4912285624999999
1965,0.3587212857142857
1966,0.32365818749999997
1967,0.4348218823529412
1968,0.3295483333333334
1969,0.27050433333333335
1970,0.4447028333333333
1971,0.39740244444444445
1972,0.27191092307692305
1973,0.43699099999999985
1974,0.4419178333333334
1975,0.6004823333333326
1976,0.3224859999999999
1977,0.49021363636363624
1978,0.4073298571428571
1979,0.4819702105263158
1980,0.43815427999999984
1981,0.40103295
1982,0.3907923928571428
1983,0.529148
1984,0.5812961842105261
1985,0.6246524901960784
1986,0.474445612244898
1987,0.4895892807017544
1988,0.49721594202898534
1989,0.5326592698412699
1990,0.4604586666666665
1991,0.4437694666666668
1992,0.5947327962962962
1993,0.5576539583333332
1994,0.583652193181818
1995,0.6557129047619047
1996,0.4825790769230765
1997,0.6325674545454547
1998,0.5844431666666668
1999,0.49067837000000014
2000,0.5329546597938144
2001,0.6069451188118811
2002,0.6119666346153843
2003,0.5973744054054051
2004,0.6843983199999998
2005,0.6092020209790211
2006,0.6270831935483872
2007,0.5259334105960265
2008,0.5139566449704139
2009,0.5608355757575754
2010,0.586034692307692
2011,0.6703742209302322
2012,0.592221954545455
2013,0.6039325885714282
2014,0.866662713513513
2015,0.9385266481481479
