release_year,popularity_drama
1960,0.5663051538461539
1961,0.4322331874999999
1962,0.3920003809523809
1963,0.32244838461538455
1964,0.36481849999999993
1965,0.3052878
1966,0.33976649999999997
1967,0.5114673125
1968,0.3773224999999999
1969,0.4898867692307692
1970,0.3165878421052632
1971,0.4031049666666667
1972,0.6954913125
1973,0.47587990322580637
1974,0.5259399047619047
1975,0.5587429411764706
1976,0.5886491818181819
1977,0.4223070833333333
1978,0.352573172413793
1979,0.4747151000000001
1980,0.37467993749999995
1981,0.3590016874999999
1982,0.5438484848484848
1983,0.4443822857142857
1984,0.5140376000000001
1985,0.53033505
1986,0.49564468627450986
1987,0.45161623076923074
1988,0.42596799999999996
1989,0.4237400925925925
1990,0.5186755833333332
1991,0.4224631746031748
1992,0.45281581538461557
1993,0.5571208111111109
1994,0.7214224337349396
1995,0.646691064516129
1996,0.5756754807692309
1997,0.5937849759036147
1998,0.5819149629629629
1999,0.6390050353982304
2000,0.4800412079207916
2001,0.6448647799999998
2002,0.5674812769230768
2003,0.514841009090909
2004,0.5789945744680848
2005,0.5324392857142857
2006,0.5555783908629441
2007,0.5580970761421317
2008,0.5315645021459227
2009,0.5665053928571424
2010,0.5862799714285715
2011,0.5985435186915885
2012,0.6050732500000005
2013,0.6600757944664034
2014,0.8674743556338032
2015,0.9378772730769224
